Root,Display Seq,Level,Program,Programs,Product,Subject,Language,Grade Numbers,Pearsonbu,Asset Id,Parent Asset Id,External Id,Parent Descriptor,Descriptor,Index Code,Name,Tier Type,Tier Subtype,Sco Type,Search Title,Title In Sequence,Contenttype,Filetype,Mediatype,Hide From Student,Protected,Teacher Only,Download Restrictions,Planning,Rendersize,Mobileplatforms,Remediationtype,Testtype,Question Bank Type,English Id,Pacing,Materials,Contrib Source,Description Text,Skills,Thumbnail,Externalsource,Filename,Cutscore,Keywords,Url,Rubric Url,Activity Or SCO,Ch Lesson,Learning Model,Legacy Id,Legacy Other,Legacy Program,Notes,SCO Category,State Notes,Template01,Template02,Template03,Template04,Template05,Template06,Template07,Topic,2x Thumbnail,Grid Thumbnail,2x Grid Thumbnail,Reviewer Category,Instruction,Lexile,Guided Reading,DRA,Reading Maturity Metric,Quantile,Comprehension Skills,Text Features,Genres,Content Areas,ISBN,Author,playerTarget,Discussion Prompt,Counts Toward Mastery,Adaptive Type,Recommendable,Book Id,Pages,Featured Resources,Asset(s) to link,Thumbnail to link,Grid Thumbnail to link,Version Country,State Code,Version District,Version Statement,Content Category
"false","10",,"California Elevate Science Grade 1",,,"Science",,"K|1|2","Science",,,"SCI20_CAG1_L543980957","486d3775-c485-4b91-bb3e-6026c6f7e0fa","ac376ac9-e975-4e24-8f5f-694046f3ddb3","California Elevate Science Grade 1:Parents and Offspring:Patterns in Animal Behavior:Explore:uInvestigate Lab: How do nests protect eggs?",,,,,"uInvestigate Lab Teacher Support Container","uInvestigate Lab Teacher Support Container","Sequence","Sequence","Teacher Support","true",,"true",,"No",,,,,,"SCI20_CAG1_L543980957",,,"Pearson",,,,,"uInvestigate Lab Teacher Support Container",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA","CA",,,
"false","10",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L543980969","ac376ac9-e975-4e24-8f5f-694046f3ddb3","30616d06-3e26-44a1-a278-02b3c932d5de","California Elevate Science Grade 1:Parents and Offspring:Patterns in Animal Behavior:Explore:uInvestigate Lab: How do nests protect eggs?:uInvestigate Lab Teacher Support Container",,,,,"uInvestigate Lab Placemat: How do nests protect eggs?","uInvestigate Lab Placemat: How do nests protect eggs?","Teacher Resources","PDF","Document","false","false","false","Stream/View/Download","No",,,"Remediation",,,"SCI20_CAG1_L543980969",,,"Pearson",,"SCI20_CAG1\SCI.2611|SCI20_CAG1\SCI.3484|SCI20_CAG1\SCI.596","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/7d82b446-47ad-4b51-bdec-476faf3aa560","Alfresco - School","uInvestigate Lab Placemat: How do nests protect eggs?",,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/8ba0bdcd-52f7-48af-bbdd-d40118db51f6",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/7d82b446-47ad-4b51-bdec-476faf3aa560",,,,,,,,,,,,,,,,"realize",,"false",,"NO",,,,,,,"USA","CA",,,
"false","20",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L543980983","ac376ac9-e975-4e24-8f5f-694046f3ddb3","f7e26845-c16d-4c14-8926-62c9fea4f937","California Elevate Science Grade 1:Parents and Offspring:Patterns in Animal Behavior:Explore:uInvestigate Lab: How do nests protect eggs?:uInvestigate Lab Teacher Support Container",,,,,"Teacher Support: How do nests protect eggs?","Teacher Support: How do nests protect eggs?","Teacher Resources","DOC/DOCX","Document","true","true","true","Stream/View/Download","No",,,"Remediation",,,"SCI20_CAG1_L543980983",,,"Pearson",,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/7c85bd8f-1033-44d2-a306-39c0bddfc97c","Alfresco - School","Teacher Support: How do nests protect eggs?",,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/0c70dbd8-bc62-47d6-90e6-0f11430f724e",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/7c85bd8f-1033-44d2-a306-39c0bddfc97c",,,,,,,,,,,,,,,,"realize",,"false",,"NO",,,,,,,"USA","CA",,,
"false","30",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L543980996","a5d5b301-71c3-4a7a-91e2-8c6dbac5c1b1","3bc2eb0a-0f76-464a-9561-c3e6c5e5561a","California Elevate Science Grade 1:Parents and Offspring:Patterns in Animal Behavior",,,,,"Explain and Elaborate","Explain and Elaborate","Sequence","Sequence","Learning Model","false",,"false",,"No",,,,,,"SCI20_CAG1_L543980996",,,"Pearson",,,,,"Explain and Elaborate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA","CA",,,
"false","10",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L543981007","3bc2eb0a-0f76-464a-9561-c3e6c5e5561a","a5efc717-e2c3-474e-8cfb-8d3324695710","California Elevate Science Grade 1:Parents and Offspring:Patterns in Animal Behavior:Explain and Elaborate",,,,,"Interactivity: Animal Behaviors","Interactivity: Animal Behaviors","Activity/Exercise","TinCanSCO","Interactive Media","false","false","false","Stream/View","No",,,"Remediation",,,"SCI20_CAG1_L543981007",,,"Pearson","This digital activity provides an opportunity for students to interact with photos to tell how animals feed, protect, and teach their young.","SCI20_CAG1\SCI.1288|SCI20_CAG1\SCI.596","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/a35343eb-798a-4300-be06-d114205d4a7d","DCAT","Interactivity: Animal Behaviors",,"interactivity|interactivities|synthesize|explore|transfer knowledge|critical thinking|application|robin|wolf|bear|young|newborn|adult","http://dcat.pearson.com/dcatweb/object/downloadPIF/A0604210.zip",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/a35343eb-798a-4300-be06-d114205d4a7d",,,,,,,,,,,,,,,,"realize",,"false",,"NO",,,,,,,"USA","CA",,,
"false","20",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L543981018","3bc2eb0a-0f76-464a-9561-c3e6c5e5561a","e30ace3b-9bb3-49ea-93e1-48a3484344cf","California Elevate Science Grade 1:Parents and Offspring:Patterns in Animal Behavior:Explain and Elaborate",,,,,"eText: Quest Check-In: Parents Help Young Learn","eText: Quest Check-In: Parents Help Young Learn","Reference Material","URL","Realize Reader Selection","false","true","false","Stream/View","No",,,"Remediation",,,"SCI20_CAG1_L543981018",,,"Pearson","This activity continues the Quest project by giving students the opportunity to read about how bears help their cubs learn.","SCI20_CAG1\SCI.2524|SCI20_CAG1\SCI.1288|SCI20_CAG1\SCI.539|SCI20_CAG1\SCI.596|SCI20_CAG1\SCI.2786","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/94ab05f2-2dd4-440f-a9d9-2f48c6d7389e","URL","eText: Quest Check-In: Parents Help Young Learn",,"quest|check|check-in|check in|synthesize|problem|problem-based|problem based|problem-based learning|problem based learning|real-world|real world|explore|solution|solve|bear|bears|grizzly bear|grizzly bears|cub|cubs|feed|feeds|food|protect|protects|protection|hide|danger|dangers|care|cares|learn|learns","http://pearson.com/",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/94ab05f2-2dd4-440f-a9d9-2f48c6d7389e",,,,,,,,,,,,,,,,"realize",,"false",,"NO","48P72PVUIOL","71",,,,,"USA","CA",,,
"false","40",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L543981030","a5d5b301-71c3-4a7a-91e2-8c6dbac5c1b1","238e81f2-b282-49fd-9233-4a567042a54c","California Elevate Science Grade 1:Parents and Offspring:Patterns in Animal Behavior",,,,,"Evaluate","Evaluate","Sequence","Sequence","Learning Model","false",,"false",,"No",,,,,,"SCI20_CAG1_L543981030",,,"Pearson",,,,,"Evaluate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA","CA",,,
"false","10",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L543981040","238e81f2-b282-49fd-9233-4a567042a54c","21265a45-6b5f-42e6-947f-ff0eac555eb1","California Elevate Science Grade 1:Parents and Offspring:Patterns in Animal Behavior:Evaluate",,,,,"Quiz: Patterns in Animal Behavior","Quiz: Patterns in Animal Behavior","Assessment","Test","Test","true","false","false","Stream/View","No",,,"Remediation","Test","Test","SCI20_CAG1_L543981040",,,"Pearson","This online quiz assesses students' mastery of concepts presented in the lesson.","SCI20_CAG1\SCI.1046|SCI20_CAG1\SCI.1288|SCI20_CAG1\SCI.1283|SCI20_CAG1\SCI.4657|SCI20_CAG1\SCI.4656|SCI20_CAG1\SCI.3394|SCI20_CAG1\SCI.2611|SCI20_CAG1\SCI.2900|SCI20_CAG1\SCI.2467|SCI20_CAG1\SCI.3484|SCI20_CAG1\SCI.596","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/673f1cd5-8008-4a16-8731-f4a0acf6e9f6","Alfresco - School","Quiz: Patterns in Animal Behavior",,"quiz|quizzes|assessment|assessments|formative|evaluate|demonstrate|pattern|patterns|animal|animals|behavior|behaviors|behaviour|behaviours|need|needs|water|shelter|shelters|young|food|feed|help|helps|protect|protects|protection|danger|cold|teach|teaches|safe|warm|hungry","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/dee50770-9374-4845-9396-d87d72fb7f17",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/673f1cd5-8008-4a16-8731-f4a0acf6e9f6",,,,,,,,,,,,,,,,"testnav",,"true",,"YES",,,,,,,"USA","CA",,,
"false","10",,"California Elevate Science Grade 1",,,"Science",,"K|1|2","Science",,,"SCI20_CAG1_L543981052","21265a45-6b5f-42e6-947f-ff0eac555eb1","85ad09d6-90bd-40c5-9e0c-ff58d2d2148f","California Elevate Science Grade 1:Parents and Offspring:Patterns in Animal Behavior:Evaluate:Quiz: Patterns in Animal Behavior",,,,,"Quiz Teacher Support Container","Quiz Teacher Support Container","Sequence","Sequence","Teacher Support","true",,"true",,"No",,,,,,"SCI20_CAG1_L543981052",,,"Pearson",,,,,"Quiz Teacher Support Container",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA","CA",,,
"false","10",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L543981059","85ad09d6-90bd-40c5-9e0c-ff58d2d2148f","407039e7-2f7c-4539-9247-ea133ad60381","California Elevate Science Grade 1:Parents and Offspring:Patterns in Animal Behavior:Evaluate:Quiz: Patterns in Animal Behavior:Quiz Teacher Support Container",,,,,"Editable Quiz: Patterns in Animal Behavior","Editable Quiz: Patterns in Animal Behavior","Assessment","DOC/DOCX","Document","true","false","false","Stream/View/Download","No",,,"Remediation",,,"SCI20_CAG1_L543981059",,,"Pearson","This is an editable and printable version of the lesson quiz, which assesses students' mastery of concepts presented in the lesson.","SCI20_CAG1\SCI.1046|SCI20_CAG1\SCI.1288|SCI20_CAG1\SCI.1283|SCI20_CAG1\SCI.4657|SCI20_CAG1\SCI.4656|SCI20_CAG1\SCI.3394|SCI20_CAG1\SCI.2611|SCI20_CAG1\SCI.2900|SCI20_CAG1\SCI.2467|SCI20_CAG1\SCI.3484|SCI20_CAG1\SCI.596","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/673f1cd5-8008-4a16-8731-f4a0acf6e9f6","Alfresco - School","Editable Quiz: Patterns in Animal Behavior",,"quiz|quizzes|assessment|assessments|formative|evaluate|demonstrate|pattern|patterns|animal|animals|behavior|behaviors|behaviour|behaviours|need|needs|water|shelter|shelters|young|food|feed|help|helps|protect|protects|protection|danger|cold|teach|teaches|safe|warm|hungry","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/12e4bcd2-d6fc-4204-88e0-74b70dc6fcab",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/673f1cd5-8008-4a16-8731-f4a0acf6e9f6",,,,,,,,,,,,,,,,"testnav",,"true",,"NO",,,,,,,"USA","CA",,,
